Gamefile name:,AwShirt,,,
142041,,"Mi prenis vin ĉi tien al Ĉemizio por krei amuzajn ĉemizojn kaj maĉi maĉgumon. Kaj mia maĉgumo TUTE FINIĜIS. Sed mi ankoraŭ havas kafo-gustajn bombonojn, se vi tion ŝatas.",I have brought you to T-Shirt Island to make funny t-shirts and chew bubblegum. And I\'m ALL OUT OF GUM. But I do have ribbon candy if you\'re into that.,
142042,,"Mi petis vin veni sur belan insulon Ĉemizio pro unu ununura kialo: por partopreni en pereiga t-ĉemiza batalo, kaj eble ludi iom da tablopiedpilko, se restas tempo. Bone, estas du kialoj.","I\'ve beckoned you here to T-Shirt Island for one reason and one reason only: to engage in deadly t-shirt battle and maybe play some foosball if there\'s time. Okay, two reasons.",
142043,,Mi prenis vin ĉiujn ĉi tien al Ĉemizio ĉar vi estas la plej pereigaj t-ĉemizaj batalantoj kiujn mi konas. Kaj ĉar mi malamas esti sola je mia naskiĝtago.,I\'ve brought you all here to T-Shirt Island because you are the deadliest t-shirt warriors I know. And because I hate being alone on my birthday.,
142044,,"Mi prenis vin ĉiujn ĉi tien ĉar unu de vi...estas MURDISTO. Mi ŝercis, estis nur por fari t-ĉemizojn!","I\'ve brought you all here to T-Shirt Island because one of you...is a MURDERER. Just kidding, it\'s to make t-shirts!",
142045,,"Mi prenis vin ĉiujn ĉi tien por havi la plej sovaĝan FESTOn de nia vivo! Aĥ, ne tiu estis la sekva grupo. Vi estas ĉi tie pro tiu t-ĉemiza afero.","I\'ve brought you all here to T-Shirt Island to have the wildest Spring Break of our lives! Oh wait, that\'s the next group. You guys are here for the t-shirt thing.",
142046,,Mi prenis vin ĉi tien sur Ĉemizion por kunmiliti en la plej pereiga t-ĉemiza lukto. Ĉiu de vi havas la koron de vera militisto. Vi trovos ĝin en glaso sub via seĝo. Manĝu ĝin nun aŭ ŝparu ĝin por poste.,I\'ve brought you to T-Shirt Island to engage in deadly t-shirt combat. Each of you has the heart of a true warrior. You\'ll find it in a jar under your seat. Eat it now or save it for later.,
142047,,"Ekzakte kiel la profetaĵo prognozis, la plej grandaj t-ĉemizaj ĉampionoj kunvenis por batali sur Ĉemizio. La profetaĵo ankaŭ prognizis multe da aĵoj kiuj NE okazis, sed kion fari, ĉu ne?","Just as the prophecy foretold, Earth\'s greatest T-Shirt champions have gathered to do battle on T-Shirt Island. The prophecy also foretold a lot of stuff that DIDN\'T happen, but what are you gonna do, amirite?",
142048,,Mi prenis vin ĉiujn ĉi tien por batalo por ĉemiza hegemonio. Kaj por aŭskulti ege mallongan reklaman parolon pri tute noveca EO-renkontiĝo sur la luno.,"I have brought you all here to T-Shirt Island to battle for shirt supremacy. And to listen to a very brief timeshare pitch, but we\'ll get to that later.",
142049,,"Dankon, karuloj, por esti ĉi tie kun mi sur Ĉemizio. Mi esperas ke vi ŝatos viajn dormlokojn. Eta averto: antaŭaj kandidatoj plendis pri blata problemo, sed tiu almenaŭ solvos la matenmanĝo-problemon.",Thank you all for joining me on T-Shirt Island. I hope your accommodations will be to your liking. Although one of you is going to have to bunk with me. Fair warning: I am a kicker.,
142050,,"Mi ĝojas ke vi aliĝis por veni ĉi tien al insula ŝtateto Ĉemizio. Ni havas nur unu regulon: amuziĝu! Oh, kaj atentu ke vi entempas por la turniro. Kaj ne fumu. Kaj ĉiuj lavu siajn proprajn telerojn. Kaj estas kelkaj plu; Mi iras preni por vi ekzemplerojn de la regularo.","I\'m glad you could join me on T-Shirt Island. We only have one rule here: have fun! Oh, and make sure you\'re on time for the Tournament. And no pets. And everyone washes their own dishes. And there are a few more; I\'ll get you a copy of the rules.",
142051,,Mi prenis vin ĉi tien al Ĉemizio ĉar vi estas la plej bonaj de la plej bonaj. Kaj ĉar mi ĵus finis spekti la lastan sezonon de la Simpsons kaj mi bezonEGas pridiskuti ĝin kun iu.,I\'ve brought you all here to T-Shirt Island because you are the cream of the t-shirt fighting crop. And because I just finished the last season of The Bachelor and I have GOT to talk about it with someone.,
142052,,"Mi prenis vin ĉi-tien al Ĉemizio por alfronti la plej grandan defion de via vivo: helpi min elekti novan profilbildon por lernu.net. Sed unue, ni okazigu tiun-ĉi turniron.","I\'ve brought you here to T-Shirt Island to face the greatest challenge of your lives: helping me choose a picture for my online dating profile. But first, let\'s do this tournament.",
142053,,"Mi kunportis vin ĉiujn ĉi tien al Ĉemizio, ĉar vi estas la lasta espero por la travivo de nia planedo. Haha, ĉu vi povas imagi tiun? Ne, ni simple kreos kelkajn amuzajn t-ĉemizojn.","I have brought you all here to T-Shirt Island, because you are the Earth\'s last hope for survival. Haha, can you imagine? No, we\'re just gonna make some funny t-shirts.",
142061,,"Desegnu kion ajn via koro deziras. Mi seriozas, ion ajn. Tute ne gravas, kion. Sed se vi bezonas inspiron, klaku la sugesto-butonon.","Draw whatever your heart desires. Like literally anything. It doesn\'t matter. But if you need an idea, hit the suggestion button.",
142062,,"“Sed kion mi desegnu?” mi aŭdas vin demandi. “Ion ajn, pli malpli” mi respondas. Kaj se vi ne trovas ideon, klaku la sugesto-butonon.","\""But what should I draw?\"" I hear you ask. \""Pretty much whatever,\"" I reply. And if you can\'t think of something, hit the suggestion button.",
142063,,"Desegnu ion dolĉan, ion naŭzan, ion amuzan. Honeste, mi prifajfas, kion vi desegnas, sed se vi bezonas helpon, klaku la sugesto-butonon.","Draw something cute, something gross, something funny. Honestly, I don\'t care what you draw, but if you need help, hit the suggestion button.",
142064,,"Kion vi desegnas estas tute sensignifa. Nu, eble ĝi havas IOM da signifo, sed ne stresiĝu pri ĝi. Kaj uzu la sugesto-butonon se mankas al vi ideoj.","What you draw is of no consequence. I mean it\'s of some consequence, but like don\'t stress out. Use the suggestion button if you\'re out of ideas.",
142065,,"Vi povas desegni ion ajn kiu plaĉas al vi. Se vi bezonas ideon, uzu la sugesto-butonon. Mi promesas, ke mi ne juĝas vin. Ĝis nun.","You may draw anything that pleases you. If you need an idea, use the suggestion button. I promise I\'m not judging you. Yet.",
142066,,"Libere desegnu ion ajn el via fantazio. Kaj se via fantazio estas dezerto, klaku la sugesto-butonon.","Feel free to draw anything that strikes your fancy. And if your fancy isn\'t feeling so fancy, hit the suggestion button.",
142067,,"Vi rajtas desegni kion ajn vi deziras. Kaj se vi deziras scii, kion desegni, klaku la sugesto-butonon.","You may draw whatever you wish. And if your wish is to know what to draw, hit the suggestion button.",
142068,,"Desegnu ion ajn kiu aperas en tiu via eta kapo. Se nenio aperas, klaku la sugesto-butonon.","Draw anything that pops into that little head of yours. If nothing pops, just hit the suggestion button.",
142069,,"Vi povas elekti ajnan temon. Desegnu iun ajn, prifajfu memregon. Sed se mankas ideoj, uzu la sugesto-butonon.","You may draw whatever you choose. Go nuts with it. But if you\'re stumped, feel free to use the suggestion button.",
142558,,Vi uzos viajn aparatojn por desegni du desegnaĵojn.,You will use your device to draw two drawings.,
142559,,Daŭrigu skribi! Skribu je venta rapideco!,Keep writing! Write like the wind!,
142560,,Desegnaĵo du: Komencu!,Drawing two: Begin!,
142561,,Vi uzos vian aparaton por desegni tri desegnaĵojn.,You will use your device to draw three drawings.,
142562,,"Kion vi desegnas gravas ne. Lasu vian koron esti via gvidanto. Kaj se via koro tute ne havas ideon, simple klaku la sugesto-butonon.","What you draw matters not. Let your heart be your guide. And if your heart can\'t think of anything, just hit the suggestion button.",
142563,,Lasta oportuno esti sprita.,Last chance to be clever.,
142564,,"Uzu viajn aparatojn por enigi unu desegnaĵon kaj tiom da sloganoj, kiom vi deziras.",Use your devices to enter one new drawing and as many new slogans as you wish.,
142565,,Komencu viajn unuajn desegnaĵojn!,Begin your first drawing...NOW!,
142566,,"Interese. Mi komprenas kiun vi celis fari ĉi tie. Sed ĉi-foje, mi volas vidi pli da koloro.","Interesting. I get what you were going for with these. But this time, I want to see more colors.",
142567,,Bone! Bone! Ankoraŭ unu desegnaĵo. Utiligu la negativan spacon!,"Good, good! One more drawing. Use that negative space!",
142779,la angla originalo havas sonefikon,3... 2... 1…,3... 2... 1… (aŭskultu originon - havas sonefikon),
142780,,Oh oh. Ĉu mi perdis vin? *suspirante* Plia turniro finas egalpoente.,Uh oh. Did I lose you? *sigh* Another tournament ends in a draw.,
142785,,"Kiam ambaŭ konkurantoj ricevas sammultajn voĉojn, la defendanta ĉampiono venkas. Malbonŝance por vi, freŝa karno.","The defending champion wins ties. Bad luck for you, new meat.",
142787,,Ne malbone. Sed ni havu iom pli da diverseco ĉi-foje. Ĉu vi scias ke vi povas ŝanĝi la dikecon de viaj linioj per tiu eta butono?,Not bad. But let\'s see a little variety this time. You can change your line thickness with that little button ya know.,
142791,,"Via vojaĝo al la venko komencas ĉi tie, en la trejnada tereno.","Your journey to victory begins here, at the training grounds.",
143057,,"Via serpentuma pado al la venko ekas ĉi tie, en la trejnada tereno.","Your winding path to victory starts here, at the training grounds.",
143058,,"Ĉiu granda rakonto komencas ie. La via komencas ĉi tie, sur la trejnada tereno.","Every epic tale starts somewhere. Yours begins here, at the training grounds.",
143059,,Bonvenon al la trejnada tereno.,Welcome to the training grounds.,
143060,,"La strato al grandeco komencas ĉi tie, sur la trejnada tereno.","The road to greatness begins here, at the training grounds.",
143815,,Kreu vian novan ĉemizan batalanton.,Create your new shirt warrior.,
143815,,La spiritoj de humura kunmetado gvidu vin.,May the spirits of humorous jŭtaposition guide you.,
143826,,Lasta desegnaĵo! Vivu vian frenezecon!,Last drawing! Get weird with it!,
143827,,Fierigu min.,Make me proud.,
143828,,Ne plorigu min.,Don\'t let me down.,
143829,,Provu ne fuŝi.,Try not to screw this up.,
143830,,Kreu ion belan.,Make them count.,
143831,,Pensu ekster viaj kutimoj!,Think outside the box!,
143832,,"Senĉenigu la nekredeblajn materialaĵojn, sur kiuj vi tiom longe sidis.",Break out that killer material you\'ve been sitting on.,
143833,,Mi volas ke vi sciu: Mi kredas je vi.,I want you to know: I believe in you.,
143834,,Vere metu vian koron en ĝin.,Really put your back into it.,
143835,,Menso kiel akvo...kaj...,Mind like water...and...,
143836,,Tempas por via unua desegnaĵo.. Ekzakte nun!,It\'s time for your first drawing.. right now!,
143837,,"Skuu viajn desegnofingrojn, tempas desegni","Get your drawing fingers wiggling, it\'s time to draw",
143838,,Komencu vian unuan desegnaĵon...NUN!,Begin your first drawing...NOW!,
143839,,Komencu vian unuan desegnaĵon...NUN!,Begin your first drawing...NOW!,
143840,,"Tiuj de vi kiuj spektas la turniron, vi ne devas atendi pliajn 100 jarojn por kunamuziĝi. Aliĝu al la spektantaro por ensendi sugestojn kaj influi la ludon!",Those of you watching the Tournament don\'t have to wait another 100 years to get in on the fun. Join the audience to submit suggestions and affect the game!,
143841,,"Se vi ne sukcesis aliĝi al la turniro, ne malĝoju. Simple aniĝu en la spektantaro por ensendi viajn sugestojn kaj voĉdoni por viaj plej ŝatataj ĉemizoj.","If you didn\'t qualify for the Tournament, don\'t fret. Simply join the audience to submit your suggestions and vote on your favorite shirts.",
143842,,"Vi sekvas la turniron, sed deziras kunludi? Aliĝu al la spektantaro kaj influu la ludon!","Watching the Tournament, but wish you were playing along? Join the audience and affect the outcome of the game!",
143843,,"Dum la elektatoj preparas, turnirspektantoj povas kunamuziĝi per aliĝi al la spektantaro. Ensendu sugestojn kaj voĉdonu por la plej bonaj ĉemizoj!","While the chosen few prepare for battle, Tournament spectators can get in on the fun by joining the audience. Submit suggestions and vote for the best shirts!",
143909,,Hastu antaŭ ol la tempo finiĝas!,Make haste before time runs out!,
143910,,La temponombrilo ne estas dekoracio. Pretiĝu rapide!,That timer is not for decoration. Finish quickly!,
143911,,Restas nur sekundoj!,Only seconds remain!,
143912,,Tempo baldaŭ finas. Vi eble volas pretiĝi baldaŭ.,Time is about to expire. You may want to finish up.,
143929,,Defio plenumigita!,Challenge complete!,
143930,,Kaj nun desegnaĵo numero du!,On to drawing number two!,
143931,,Komencu desegnaĵon du!,Begin drawing two!,
143932,,Komencu viajn duajn desegnaĵojn!,Begin your second drawings!,
143933,,Desegnaĵo du...komencu!,Drawing two...begin!,
143934,,"Unu desegnaĵon! Sentu vi vin liberaj, estu vi strangaj!",One drawing to go! Let your freak flag fly!,
143935,,Elstare! Nun vere verŝu vian tutan frenezecon en tiun ĉi!,Excellent! Now really get nuts with this last one!,
143936,,"Belege! Ankoraŭ unu! Impresu min, karuloj!","Gorgeous! One more to go! Wow me, babies!",
143937,,Elstare. Ĉi-foje montru al mi ion alian. Memoru uzi la sugesto-butonon se vi bezonas ideon.,Excellent. This time show me something different. Remember to use the suggestion button if you need an idea.,
143938,,"Sufiĉe enorda. Iom tradicia. Ĉifoje, provu ŝanĝi la ĉemizan koloron per la langetoj ĉe la ekranfono.",Decent enough. But a bit traditional. This time try changing your shirt color with the little tabs at the bottom.,
143939,,"Mi mem ne povus fari ĝin pli bone. Nu, fakte mi povus. Ĉi-foje provu pensi iom pli kiel mi.","I couldn\'t have done better myself. Well, actually I could. This time try to think more like me.",
144221,,Mi amas spekti verajn majstrojn dum laboro.,I love to watch true masters at work.,
144222,,Saluton? Ĉampionoj? Ĉu iu ĉeestas? – Ili verŝajne mortis.,Hello? Champions? Anyone? They probably died.,
144223,,"Ah, saluton? Mi ne organizis tiun tutan turniron nur por sidi ĉi tie sole kiel stultulo! Bone. Vi ĉiuj malvenkas.","Uh, hello? I didn\'t organize this whole Tournament just to sit here by myself like a jerk! Fine. You all lose.",
144224,,"Do...vi ĉiuj rezignas? Kio? Saluton? Bone, mi deklaras min mem venkanto. Gratulon al mi mem! *malfeliĉe* Jej.","So...you all forfeit then? Or what? Hello? Fine, I declare myself the winner. Yay for me!",
144225,,"Ĉu?! Ĉu vi ĉiuj organizis strikon por protesti t-ĉemizan perforton? Se vi ne volas konkuri, simple diru!","What, did you all organize a walk-out in protest of t-shirt violence? If you don\'t want to compete, just say so!",
144288,,"Vi ne rezignis post nur unu, ĉu? Daŭrigu skribi!",You didn\'t give up after one did you? Keep writing!,
144289,,Mi bezonas po eble tri aŭ kvar de ĉiuj vi? Ĉu farebla? Simple provu.,I\'m looking for like three or four from each of you? Seem doable? Give it a shot.,
144290,,"Bone, mi scias ke vi kapablas multe pli. Skribu alian!",Well I know that\'s not your best material. Write another!,
144291,,"Daŭrigu, daŭrigu, daŭrigu!",Keep those slogans coming!,
144310,,La speco de aferoj kiujn oni vidas sur - mi ne scias - t-ĉemizo.,"The kind of things you might see on, oh I don’t know, a t-shirt.",
144314,,"Tiuj tute ne havas konekton kun viaj desegnaĵoj, do pensu pri io alia.","These have nothing to do with your drawings, so just put those out of your mind.",
144315,,"Io mallonga kaj sprita, kiel oni vidus ĝin sur t-ĉemizo.",Something short and snappy like you might see on a t-shirt.,
144316,,Io vere inteligenta aŭ vere stultega. Mi certas ke ajna afero kiu venas el via menso estos aŭ aŭ.,Something really clever or really dumb. I\'m sure anything you write will be one of those.,
144317,,Kapricemo ege bonvenatas.,Whimsy is highly encouraged.,
144335,,Kaj ne lasu la malhumilon konsumi vin. Uzu sugeston se vi bezonas ĝin.,And Don\'t let hubris consume you. Use a suggestion if you need one.,
144336,,Kaj ne forgesu ke vi povas uzi la sugesto-butonon se vi sentas vin senidea.,And Don\'t forget that suggestion button if you\'re stumped.,
144337,,Kaj ne estas kialo por honti se vi bezonas la sugesto-butonon.,And There\'s no shame in hitting the suggestion button if you need it.,
144338,,Kaj uzu sugeston se vi bezonas ĝin. Akcepti viajn limigojn estas parto de vivo.,And Use a suggestion if you need one. Accepting your limitations is a part of life.,
144870,,Kaj nun la skriba parto. Mi estas ekscitita!,Now the writing part. I\'m so excited!,
144871,,Kaj nun ni skribas.,And now we write.,
144872,,Nun la amuzaj sloganoj.,Now make with the funny slogans.,
144873,,Kaj nun freŝa aro da sloganoj.,And now a fresh batch of slogans.,
144874,,Sekvante ni bezonos kelkajn furorajn novajn sloganojn. Tiu estos via tasko.,Next we\'ll need some hot new slogans. That\'s your job.,
144875,,Kaj nun la sloganoj. Ĉu pretaj?,Next the slogans. Ready?,
144876,,Ni ankaŭ bezonos kelkajn sloganojn se vi ankoraŭ havas energion.,We\'ll also need some slogans if you think you can manage it.,
144877,,Nun surprizu min per kelkaj furoraj sloganoj.,Now hit me with some hip new slogans.,
144878,,Kaj nun estas tempo por la sloganoj.,And now it\'s time for the slogans.,
145035,,"Vi bone luktis. Ni eltrovu, ĉu indis la penon...",Nice hustle. Let\'s find out if it was worth it...,
145036,,"Ho jes, tiu estos bonega.","Oh yeah, this is gonna be good.",
145037,,Vi vere fosis surfunde ĉi-foje. ,You really dug deep that time. ,
145038,,Okej bone...,Alright then...,
145105,,Batalu! …batalu per endoni viajn voĉojn sur viaj aparatoj...,Fight! ...Fight by submitting your votes on your devices...,x
145707,,Kreu viajn t-ĉemizojn per viaj aparatoj. Amuziĝu!,Make your t-shirt on your device. Have fun with it!,
145708,,"Bone, kreu viajn ĉemizojn. Io eleganta, sed freŝa.","Okay, make your shirts. Something classy but sassy!",
145709,,"Mi esperas, ke vi ricevis ion, per kio vi povas labori. Kreu vian ĉemizon!",Hope you got something you can work with. Create your shirt!,
145710,,Nun venas la bela parto: Kreu vian ĉemizan majstraĵon!,Now for the payoff: Make your shirt masterpiece!,
145711,,Nun kreu ĉemizon kiu vere turnigos la kapojn.,Now make me a shirt that\'ll really turn some heads.,
145712,,Tempo por spiri vivon en viajn kreaĵojn!,Time to breathe life into your t-shirt creation. LIVE!,
145713,,"Ho jes, nun mia plej ŝatata parto. Kreu viajn t-ĉemizojn!","Oh boy, this is my favorite part. Make your shirts now!",
145714,,Nun ŝpinu tiujn sloganojn kaj desegnaĵojn al t-ĉemiza oro!,Now spin those slogans and drawings into t-shirt gold!,
145715,,"Bone bone, kreu viajn t-ĉemizojn nun!","All right, make your shirts now!",
145716,,Tempo finiĝanta!,The time is nigh!,
145717,,Sufiĉe da trejnado. Direktu vian atenton al via aparato.,Enough training. Direct your attention to your device.,
145718,,Trejnado pretas. Nun rigardu vian aparaton.,Training complete. Now take a look at your device.,
